"Distance along ""Grunnlinja"" is calculated as kilometers from the boarder to Sweden in Southern Norway";;;;;
;;;;;
NAVN;KOMM;KomNr;MidPointXUTM;MidPointYUTM;DistanceGrunnlinja(km)
1;Ibestad;1917;584328.7462;7638217.501;1875.689
2;Bo;1867;467421.9699;7623162.369;1760.852
3;Vormy;1857;404953.6712;7505093.826;1625.878
4;Trmna;1835;362264.4908;7384872.272;1468.945
5;Nesna;1828;408614.3762;7348406.88;1455.901
6;Vogan;1865;476680.3651;7570986.783;1720.912
7;Moskenes;1874;411657.724;7534194.219;1651.719
8;Vega;1815;338867.0172;7293965.083;1375.174
9;Karlsny;1936;666282.8904;7800645.335;2036.172
10;Berg;1929;584676.688;7715127.173;1910.705
11;Harstad;1903;560047.8651;7649274.992;1850.033
12;Salangen;1923;614455.2385;7645082.036;1900.846
13;Sortland;1870;520569.1494;7625796.981;1796.622
14;Kvmfjord;1911;541668.4346;7620862.456;1806.774
15;Tjeldsund;1852;552657.3738;7598820.527;1797.09
16;Vestvng;1860;445000.5135;7564884.997;1703.182
17;Flakstad;1859;419120.6353;7561586.299;1680.052
18;Rost;1856;370537.9866;7477481.738;1573.298
19;Donna;1827;381683.0118;7341659.183;1438.247
20;Alstahaug;1820;382215.643;7307172.969;1400.557
21;Lyngen;1938;698214.9873;7743707.177;2039.693
22;Sorfold;1845;532047.8927;7488948.789;1711.852
23;Bodm;1804;464018.801;7472718.155;1625.878
24;Fauske;1841;533330.2694;7456573.537;1625.878
25;Melmy;1837;426644.7908;7424199.395;1505.621
26;Gildesk;1838;453177.954;7437218.065;1509.91
27;Saltdal;1840;523025.1796;7419375.168;1502.261
28;Rodmy;1836;400287.984;7406758.444;1502.26
29;Rana;1833;477119.8861;7365852.689;1502.259
30;Lurmy;1834;395591.6963;7368039.636;1467.93
31;Hermy;1818;347931.446;7336706.233;1418.72
32;Hemnes;1832;456043.1906;7321858.37;1452.152
33;Leirfjord;1822;411092.731;7331690.137;1441.841
34;Vefsn;1824;418559.1666;7305143.262;1409.307
35;Vevelstad;1816;391730.5134;7282448.354;1379.621
36;Kvmnangen;1943;767568.8873;7763840.229;2110.984
37;Tromsn;1902;640218.1028;7741561.204;1963.832
38;Nordreisa;1942;754751.9768;7727549.242;2083.479
39;Lenvik;1931;612377.8206;7707617.178;1925.114
40;Balsfjord;1933;666496.0656;7689330.897;1925.853
41;Storfjord;1939;712059.4712;7689352.899;1946.324
42;Kofjord;1940;724372.5436;7718240.173;2051.994
43;Lavangen;1920;613352.2043;7626998.22;1896.465
44;Gratangen;1919;601179.9109;7622543.095;1883.657
45;Skmnland;1913;580288.7763;7613618.408;1844.254
46;Hadsel;1866;494917.7569;7598437.081;1753.946
47;Narvik;1805;610188.2961;7580856.672;1848.003
48;Lodingen;1851;525475.6648;7585404.384;1754.722
49;Evenes;1853;580723.9978;7598899.945;1835.664
50;Ballangen;1854;571499.6777;7575311.029;1791.624
51;Tysfjord;1850;559489.916;7545975.944;1743.794
52;Hamarny;1849;534321.0886;7539307.35;1724.582
53;Steigen;1848;490077.4279;7522235.569;1711.846
54;Somna;1812;350283.1365;7250155.116;1341.503
55;Brmnnny;1813;371097.131;7259939.475;1359.248
56;Bindal;1811;373332.7647;7229124.686;1333.778
57;Kvalsund;2017;841214.1761;7840611.148;2196.698
58;Gamvik;2023;975157.4287;7923281.507;2391.313
59;Vardu;2002;1097861.881;7880416.646;2528.722
60;Nesseby;2027;1019450.701;7839842.464;2452.245
61;Sorreisa;1925;625692.4254;7668452.641;1920.273
62;Nordkapp;2019;894866.9297;7922596.934;2302.882
63;Botsfjord;2028;1057916.108;7902963.373;2476.448
64;Skjervey;1941;716525.0637;7791848.122;2077.385
65;Sor-Varanger;2030;1067341.271;7800188.956;2587.5
66;Loppa;2014;741740.0702;7823913.028;2114.266
67;Alta;2012;812739.0392;7788595.817;2142.243
68;Torsken;1928;570632.2139;7697713.169;1890.295
69;Andmy;1871;532078.5549;7680589.73;1847.183
70;Molselv;1924;675578.915;7651190.539;1925.116
71;Tranuy;1927;588504.6938;7670680.565;1894.122
72;Dyrmy;1926;604568.2381;7660828.341;1900.833
73;Kksnes;1868;495885.3652;7656273.464;1803.767
74;Lebesby;2022;936606.7196;7882217.352;2339.808
75;Berleveg;2024;1016437.769;7915421.064;2431.304
76;Mosmy;2018;842486.5713;7904322.735;2246.06
77;Tana;2025;974708.7527;7842301.573;2422.254
78;Hammerfest;2004;801556.4071;7873973.013;2187.8
79;Porsanger;2020;883102.5999;7820919.054;2256.224
80;Vadsu;2003;1058222.59;7853563.998;2551.576
81;Hasvik;2015;763276.8339;7853933.548;2145.45
